cid,claim_text,pid,perspective_text,stance_annotation,relevance_annotation
942,Children should do part time and summer work,26954,Children should work because a job provides satisfaction.,,
395,The United Nations has a responsibility to protect.,2940,Blanket commitment creates a slippery slope of when to intervene.,,
504,Encourage fewer people to go to university,24893,Many people with college degrees find themselves working in positions in which their degrees are not a requirement. ,,
564,The United States should continue Its use of drone strikes abroad,4191,Drone strikes are subject to a strict review process and congressional oversight. ,,
176,Make all museums free of charge,1309,"If state-funded, there is little incentive to increase numbers of visitors",,
208,Civil society should be granted a wider participation in Africa’s political life,22317,There is no proof that western European involvement in politics would be beneficial to Africa.,,
585,Social networking sites are good for our society,4743,Criminals use social media to commit and promote crimes.,,
284,Britain should join the Euro currency,2098,Britain will lose economically if she stays out of the Euro over the long term.,,
688,Any job is better than no job,5713,Some jobs genuinely need higher qualifications.,,
462,There must be a system of universal healthcare,23819,Universal healthcare doesn't allow for any new medical breakthroughs.,,
192,governments should choose open source software in order to encourage its use,1424,Open source software is more adaptable to government needs. ,,
513,Raise The School Leaving Age To 18,4126,Unrealistically costly,,
550,The UK would be better off economically outside the European Union,6998,Students will have to pay British tuition fees,,
22,The music that glorifies violence against women should be banned,27059,Censoring art is extremely bad.,,
641,School Uniforms Should Be Mandatory,4764,School uniforms prevent the display of gang colors and insignia. ,,
584,Tablets should replace textbooks in K-12 schools,4693,Students who own tablets purchase and read more books than those who read print books alone.,,
1002,Dictatorship Is the Best Path to Development,8085,Dictatorship is a good breeding ground for personal discipline and order,,
30,The International Criminal Court is a force for good,21071,"The prosecutorial abuse potential is high, due to its lack of checks on its power.",,
791,The media’s selective coverage of certain issues works to worsen problems in society and create problems,6427,Newspapers report sensationalist stories beacuse they sell.,,
868,Democracy Is the Best Form of Government,7068,Better governance due to transparency,,
93,Prostitution has to be legalised,26543,Legalizing prostitution would exacerbate the HIV problem.,,
670,The teaching of Shakespeare should be compulsory,25878,This maintains relevance even now.,,
236,Abolish the Superdelegate System for Democratic Party Conventions,1740,"The disproportionate influence of former politicians inevitably benefits old, powerful, white men ",,
221,Handguns must be banned in Washington D.C.,22415,Lower crime rates and fewer deaths result when handguns are banned in a city.,,
567,Social Security should be privatized ,4269,"Privatizing Social Security would do nothing to solve its impending insolvency, and would actually make it worse. ",,
354,Disclose previous convictions in court,2637,The current system is unfairly weighted in favour of criminals.,,
184,Animal testing should be banned.,4549,Animal tests do not reliably predict results in human beings.,,
925,The EU should impose a special Europe-wide tax on meat consumption to help save the planet,7467,Livestock production threatens the world’s water supply,,
942,Children should do part time and summer work,7573,Children can use the money.,,
118,Homosexuals should be able to adopt,871,Gay people have the right to a family life.,,
886,Taxes on smoothies and fruit juices should be reduced,7146,Removing VAT would increase sales of healthy drinks,,
66,Access to the websites that deny the Holocaust must be blocked,500,The internet should operate on the basis of net neutrality,,
653,Mossad should carry out extrajudicial killings,5436,They damage Israel's foreign relations & reputation,,
591,The drinking age should be lowered from 21 to a younger age,26638,"Being an adult at 18 should be all encompassing across society, including drinking.",,
399,NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban,23466,The power sharing deal would stop a significant financial drain for the countries involved.,,
594,Human activity is primarily responsible for global climate change,4982,"Deep ocean currents, not human activity, are a primary driver of natural climate warming and cooling cycles. ",,
537,Allow celebrities to switch off the limelight,24340,The actual personas of celebrities could be misleading.,,
