cid,claim_text,pid,perspective_text,stance_annotation,relevance_annotation
942,Children should do part time and summer work,26954,Children should work because a job provides satisfaction.,support,directly relevant
395,The United Nations has a responsibility to protect.,2940,Blanket commitment creates a slippery slope of when to intervene.,oppose,directly relevant
504,Encourage fewer people to go to university,24893,Many people with college degrees find themselves working in positions in which their degrees are not a requirement. ,support,directly relevant
564,The United States should continue Its use of drone strikes abroad,4191,Drone strikes are subject to a strict review process and congressional oversight. ,support,directly relevant
176,Make all museums free of charge,1309,"If state-funded, there is little incentive to increase numbers of visitors",oppose,directly relevant
208,Civil society should be granted a wider participation in Africa’s political life,22317,There is no proof that western European involvement in politics would be beneficial to Africa.,oppose,somewhat relevant
585,Social networking sites are good for our society,4743,Criminals use social media to commit and promote crimes.,oppose,directly relevant
284,Britain should join the Euro currency,2098,Britain will lose economically if she stays out of the Euro over the long term.,support,directly relevant
688,Any job is better than no job,5713,Some jobs genuinely need higher qualifications.,oppose,somewhat relevant
462,There must be a system of universal healthcare,23819,Universal healthcare doesn't allow for any new medical breakthroughs.,oppose,directly relevant
192,governments should choose open source software in order to encourage its use,1424,Open source software is more adaptable to government needs. ,support,directly relevant
513,Raise The School Leaving Age To 18,4126,Unrealistically costly,oppose,directly relevant
550,The UK would be better off economically outside the European Union,6998,Students will have to pay British tuition fees,oppose,somewhat relevant
22,The music that glorifies violence against women should be banned,27059,Censoring art is extremely bad.,oppose,directly relevant
641,School Uniforms Should Be Mandatory,4764,School uniforms prevent the display of gang colors and insignia. ,support,directly relevant
584,Tablets should replace textbooks in K-12 schools,4693,Students who own tablets purchase and read more books than those who read print books alone.,support,somewhat relevant
1002,Dictatorship Is the Best Path to Development,8085,Dictatorship is a good breeding ground for personal discipline and order,support,directly relevant
30,The International Criminal Court is a force for good,21071,"The prosecutorial abuse potential is high, due to its lack of checks on its power.",oppose,directly relevant
791,The media’s selective coverage of certain issues works to worsen problems in society and create problems,6427,Newspapers report sensationalist stories beacuse they sell.,support,directly relevant
868,Democracy Is the Best Form of Government,7068,Better governance due to transparency,support,directly relevant
93,Prostitution has to be legalised,26543,Legalizing prostitution would exacerbate the HIV problem.,oppose,directly relevant
670,The teaching of Shakespeare should be compulsory,25878,This maintains relevance even now.,support,directly relevant
236,Abolish the Superdelegate System for Democratic Party Conventions,1740,"The disproportionate influence of former politicians inevitably benefits old, powerful, white men ",support,directly relevant
221,Handguns must be banned in Washington D.C.,22415,Lower crime rates and fewer deaths result when handguns are banned in a city.,support,directly relevant
567,Social Security should be privatized ,4269,"Privatizing Social Security would do nothing to solve its impending insolvency, and would actually make it worse. ",oppose,directly relevant
354,Disclose previous convictions in court,2637,The current system is unfairly weighted in favour of criminals.,support,directly relevant
184,Animal testing should be banned.,4549,Animal tests do not reliably predict results in human beings.,support,directly relevant
925,The EU should impose a special Europe-wide tax on meat consumption to help save the planet,7467,Livestock production threatens the world’s water supply,support,directly relevant
942,Children should do part time and summer work,7573,Children can use the money.,support,directly relevant
118,Homosexuals should be able to adopt,871,Gay people have the right to a family life.,support,directly relevant
886,Taxes on smoothies and fruit juices should be reduced,7146,Removing VAT would increase sales of healthy drinks,support,directly relevant
66,Access to the websites that deny the Holocaust must be blocked,500,The internet should operate on the basis of net neutrality,oppose,directly relevant
653,Mossad should carry out extrajudicial killings,5436,They damage Israel's foreign relations & reputation,oppose,directly relevant
591,The drinking age should be lowered from 21 to a younger age,26638,"Being an adult at 18 should be all encompassing across society, including drinking.",support,directly relevant
399,NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban,23466,The power sharing deal would stop a significant financial drain for the countries involved.,support,directly relevant
594,Human activity is primarily responsible for global climate change,4982,"Deep ocean currents, not human activity, are a primary driver of natural climate warming and cooling cycles. ",oppose,directly relevant
537,Allow celebrities to switch off the limelight,24340,The actual personas of celebrities could be misleading.,support,somewhat relevant
869,Children Should Have The Right To Vote In Elections,25672,Sixteen years would be a better option in developed countries,oppose,somewhat relevant
816,We have lost the true meaning of Christmas,6552,Christmas is more important than presents!,support,directly relevant
292,The world has to ignore North Korean provocations,22945,Media attention only encourages North Korean provocations.,support,directly relevant
246,The northern Ireland would be better off if united with the Republic of Ireland,1818,Unification would be damaging for the economies of both parts of Ireland,oppose,directly relevant
616,Companies should provide alternative interview methods,5114,Can't get a realistic impression of a person in such a short space of time.,support,directly relevant
753,We should show more compassion to drug addicts,6205,We should obviously not like drug users,oppose,directly relevant
184,Animal testing should be banned.,4530,Animal testing has contributed to many life-saving cures and treatments.,oppose,directly relevant
513,Raise The School Leaving Age To 18,3798,Raising the school learning age promotes equal opportunities,support,directly relevant
423,The EU should engage in further enlargement,3152,Expansion will create conflicts of interest between members.,oppose,directly relevant
184,Animal testing should be banned.,4540,Some cosmetics and health care products must be tested on animals to ensure their safety.,oppose,directly relevant
563,Golf is a Sport,24542,Golf does not have the physical rigors that sports do.,oppose,directly relevant
699,Children should be banned from watching shows that contain violence and other adult contents,5805,"Violent or sexual programming has no intrinsic worth beyond the entertainment it provides. Even if the harms are small, why should we accept them?",support,directly relevant
704,Accessing your spouse’s email account hacking,5852,Getting married is supposed to involve sharing your life with somebody,oppose,directly relevant
386,The US should have done more for Darfur,23409,Intervention would affect the existing peace deal. ,oppose,directly relevant
848,The USA Legal Drinking Age Should Be Lowered to 18 From 21,25344,Lowering the drinking age would allow younger people to go to more unsafe places.,oppose,directly relevant
561,Compensation should be paid for those who have had their culture appropriated,4133,Compensation has the potential to reverse damaged caused by Cultural Appropriation.,support,directly relevant
1,The use of child performers should be banned,20810,Exposing children to performance pressure is unethical.,support,directly relevant
370,The United States should ban assault weapons,4844,The presence of a gun makes a conflict more likely to become violent.,support,somewhat relevant
304,People should have the right to die,2250,"Medical science allows us to control death, suicide and euthanasia are sensible corollaries to that.",support,directly relevant
180,Traditional university has to be replaced by online learning,1343,Online courses undermine live communication with professors and other students,oppose,directly relevant
921,Animal testing for medical research should be allowed.,22164,Animals are treated well during animal testing. ,support,directly relevant
10,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material,20921,Government intrusion via the graduate response policy violates privacy.,oppose,directly relevant
744,The glass ceiling for women still exists,26166,Males still hold the majority of high positions. ,support,directly relevant
802,Developed Countries Should Accept More Refugees,6482,It's what our country was built on,support,somewhat relevant
576,The federal minimum wage should be increased,24841,Increasing the minimum wage will take away jobs from service employees.,oppose,directly relevant
71,The 2022 Football World Cup must be moved to the winter,534,A sporting event in the heat of a desert summer will not be a pleasant experience for the fans,support,directly relevant
107,Hate crime 'enhancements' are unjust,790,Hate crime enhancements are an attack on free speech,support,directly relevant
191,Teachers must be banned from interacting with students via social networking websites.,4755,Using social media can harm students' chances for college admission.,support,somewhat relevant
29,Capitalism is better than socialism,22605,Socialism is no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.,support,directly relevant
487,A permanent UNSC seat with veto power must be reserved to an African country,3616,An African voice would change priorities for the better,support,directly relevant
809,DNA testing is worth the money,26386,There is no regulations and the results are unreliable for DNA testing companies.,oppose,directly relevant
450,Ghana’s ban on smoking in public places is a model for Africa,26612,It is not right to ban smoking.,oppose,directly relevant
585,Social networking sites are good for our society,25172,Teachers are able to collaborate with one another using social media.,support,directly relevant
848,The USA Legal Drinking Age Should Be Lowered to 18 From 21,4915,MLDA 21 exerts valuable social pressure on potential underage drinkers and those who may serve them.,oppose,directly relevant
585,Social networking sites are good for our society,4753,Social media can facilitate inappropriate student-teacher relationships.,oppose,directly relevant
820,"Use of goal line technology in football is overdue, and can only lead to benefits.",6587,It would be divisive.,oppose,directly relevant
84,Governments should prioritise spending money on youth,21461,An age group should not be the priority of the goverment.,oppose,directly relevant
586,Students should have to wear school uniforms,4775,The key findings used to tout the benefits of uniforms are questionable.,oppose,directly relevant
564,The United States should continue Its use of drone strikes abroad,24580,Unmanned drone attacks may harm innocent civilians.,oppose,directly relevant
60,We must support public service broadcasters,21251,PBS is always asking for money.,oppose,somewhat relevant
920,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government",7396,"What the governmental machine can’t, society through charities can",support,directly relevant
808,Television is one of the most effective mediums through which to teach and inspire youngsters,6509,"The ESSA and Virtual academies are perfect examples of how television, specifically can prove useful to students of all ages",support,directly relevant
747,Romeo and Juliet do promote knife crime,6152,Modern teenagers do not relate to Shakespearian plays ,oppose,directly relevant
685,Reality TV has gone too far,6476,Reality TV shows bring out the worse in people.,support,directly relevant
83,Gender quotas in the EU are advantageous for the economies of member states,21472,We should not try to fix what isn't broken and what is fixing itself.,oppose,directly relevant
698,A celebrity would make a good minister,25983,Celebrities only think about themselves,oppose,directly relevant
297,Lesotho should be annexed by South Africa,22997,South Africa should not get involved with an underdeveloped country,oppose,directly relevant
366,We should allow death penalty for the worst of the worst criminals,23024,It's a financial loss to the state enforcing the death penalty.,oppose,directly relevant
956,Gender Equality is Treating Men and Women in the Same Way,5452,Positive discrimination towards women should not be allowed,support,directly relevant
799,Religious education Should be a part of the School curriculum,6468,"RE helps to challenge misconceptions, prejudice and ignorance which can divide society.",support,directly relevant
676,Public high school students in the United States ought not be required to pass standardized exit exams to graduate,3711,Standardized tests are arbitrary,support,directly relevant
633,States ought not possess nuclear weapons,1570,Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally,oppose,directly relevant
556,Create a National High Speed Rail System in the U.S.,4091,High Speed Rail is Dangerous,oppose,directly relevant
124,Playoffs must be implemented in collegiate level american football,912,Banning Playoffs Offer Greater Fairness,oppose,directly relevant
512,People should have a right to private education,6678,It creates stereotypes and tensions within society,oppose,directly relevant
260,Abolish the US Electoral College,1921,"The electoral college forces candidates to win broad coalitions across the country, encouraging national harmony.",oppose,directly relevant
79,South Ossetia should be independent,582,South Ossetia has a right to self-determination ,support,directly relevant
242,Grant politicians immunity from prosecution,1789,The ability to prosecute politicians is the ultimate protection against the abuse of power.  ,oppose,directly relevant
355,Treat the desecration and destruction of high-value sites and property of cultural heritage as a crime against humanity,2648,Making destruction of cultural property a crime against humanity would ensure it is protected.,support,directly relevant
73,Positive discrimination must be used to put more women in parliament,5455,"It is Men, Not Women, who are Disadvantaged in our Society",oppose,directly relevant
357,Create an African Criminal Court,2689,ICC treats Africa differently,support,directly relevant
994,Poorer Countries Should Abandon Free Trade Agreements,20852,Aid is less dangerous than free trade.,support,directly relevant
589,More gun control laws should be enacted,4836,High-capacity magazines should be banned because they too often turn murder into mass murder.,support,directly relevant
